Airport,In-Degree Centrality,Out-Degree Centrality,Betweenness Centrality,PageRank,Airport Name,City,Country
GKA,0.0012285012285012285,0.0012285012285012285,0.0,0.000214310799701828,Goroka Airport,Goroka,Papua New Guinea
MAG,0.00214987714987715,0.00214987714987715,0.0,0.00034362122068184244,Madang Airport,Madang,Papua New Guinea
HGU,0.002764127764127764,0.002457002457002457,0.0,0.0004847392989735182,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea
LAE,0.002764127764127764,0.002764127764127764,1.024380056638121e-05,0.0004287626908485686,Nadzab Airport,Nadzab,Papua New Guinea
POM,0.010135135135135136,0.010135135135135136,0.017218652786691747,0.0016242915933534613,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea
WWK,0.0012285012285012285,0.0012285012285012285,0.0,0.00027348431229048237,Wewak International Airport,Wewak,Papua New Guinea
UAK,0.0015356265356265355,0.0015356265356265355,0.001526294868013971,0.0003603170643744288,Narsarsuaq Airport,Narssarssuaq,Greenland
GOH,0.002457002457002457,0.002457002457002457,0.0025106401676165727,0.0005676577179419915,Godthaab / Nuuk Airport,Godthaab,Greenland
SFJ,0.00214987714987715,0.00214987714987715,0.0036063284179387446,0.0004580585400413278,Kangerlussuaq Airport,Sondrestrom,Greenland
THU,0.0003071253071253071,0.0003071253071253071,0.0,0.00017852105959763486,Thule Air Base,Thule,Greenland
AEY,0.0003071253071253071,0.0003071253071253071,0.0,0.00015559857530710237,Akureyri Airport,Akureyri,Iceland
EGS,0.0003071253071253071,0.0003071253071253071,0.0,0.00015559857530710237,Egilsstaðir Airport,Egilsstadir,Iceland
IFJ,0.0003071253071253071,0.0003071253071253071,0.0,0.00015559857530710237,Ísafjörður Airport,Isafjordur,Iceland
KEF,0.010442260442260442,0.009828009828009828,0.003490080763853161,0.0005082937134436319,Keflavik International Airport,Keflavik,Iceland
RKV,0.0012285012285012285,0.0012285012285012285,0.0009127226304645658,0.0004855940747918039,Reykjavik Airport,Reykjavik,Iceland
YAM,0.0012285012285012285,0.0012285012285012285,0.0,0.00014282663343784252,Sault Ste Marie Airport,Sault Sainte Marie,Canada
YAY,0.0009213759213759214,0.0009213759213759214,8.599008643728575e-05,0.00014786402301954774,St. Anthony Airport,St. Anthony,Canada
