Airport,Community,Airport Name,City,Country,Latitude,Longitude
GKA,0,Goroka Airport,Goroka,Papua New Guinea,-6.081689834590001,145.391998291
MAG,0,Madang Airport,Madang,Papua New Guinea,-5.20707988739,145.789001465
HGU,0,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,-5.826789855957031,144.29600524902344
LAE,0,Nadzab Airport,Nadzab,Papua New Guinea,-6.569803,146.725977
POM,0,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,-9.44338035583496,147.22000122070312
WWK,0,Wewak International Airport,Wewak,Papua New Guinea,-3.58383011818,143.669006348
UAK,1,Narsarsuaq Airport,Narssarssuaq,Greenland,61.1604995728,-45.4259986877
GOH,1,Godthaab / Nuuk Airport,Godthaab,Greenland,64.19090271,-51.6781005859
SFJ,1,Kangerlussuaq Airport,Sondrestrom,Greenland,67.0122218992,-50.7116031647
THU,1,Thule Air Base,Thule,Greenland,76.5311965942,-68.7032012939
AEY,1,Akureyri Airport,Akureyri,Iceland,65.66000366210938,-18.07270050048828
EGS,1,Egilsstaðir Airport,Egilsstadir,Iceland,65.2833023071289,-14.401399612426758
IFJ,1,Ísafjörður Airport,Isafjordur,Iceland,66.05809783935547,-23.135299682617188
KEF,2,Keflavik International Airport,Keflavik,Iceland,63.985000610352,-22.605600357056
RKV,1,Reykjavik Airport,Reykjavik,Iceland,64.1299972534,-21.9405994415
YAM,3,Sault Ste Marie Airport,Sault Sainte Marie,Canada,46.48500061035156,-84.5093994140625
YAY,4,St. Anthony Airport,St. Anthony,Canada,51.3918991089,-56.083099365200006
YBC,4,Baie Comeau Airport,Baie Comeau,Canada,49.13249969482422,-68.20439910888672
YBG,4,CFB Bagotville,Bagotville,Canada,48.33060073852539,-70.99639892578125
YBK,4,Baker Lake Airport,Baker Lake,Canada,64.29889678960001,-96.077796936
YBL,3,Campbell River Airport,Campbell River,Canada,49.950801849365234,-125.27100372314452
YBR,3,Brandon Municipal Airport,Brandon,Canada,49.91,-99.951897
YCB,3,Cambridge Bay Airport,Cambridge Bay,Canada,69.1081008911,-105.138000488
YCD,3,Nanaimo Airport,Nanaimo,Canada,49.0549702249,-123.869862556
YCG,3,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,49.2963981628,-117.632003784
YCL,4,Charlo Airport,Charlo,Canada,47.990799,-66.330299
YCO,3,Kugluktuk Airport,Coppermine,Canada,67.816704,-115.143997
YCY,4,Clyde River Airport,Clyde River,Canada,70.4860992432,-68.5167007446
YZS,4,Coral Harbour Airport,Coral Harbour,Canada,64.1932983398,-83.3593978882
YDF,3,Deer Lake Airport,Deer Lake,Canada,49.21080017089844,-57.39139938354492
